model_kind,all_finite,loss_iter_1_mean,loss_iter_1_std,loss_iter_1_n,loss_iter_3_mean,loss_iter_3_std,loss_iter_3_n,loss_iter_5_mean,loss_iter_5_std,loss_iter_5_n,loss_iter_10_mean,loss_iter_10_std,loss_iter_10_n,activity_iter_1_mean,activity_iter_1_std,activity_iter_1_n,activity_iter_3_mean,activity_iter_3_std,activity_iter_3_n,activity_iter_5_mean,activity_iter_5_std,activity_iter_5_n,activity_iter_10_mean,activity_iter_10_std,activity_iter_10_n,elapsed_iter_1_mean,elapsed_iter_1_std,elapsed_iter_1_n,elapsed_iter_3_mean,elapsed_iter_3_std,elapsed_iter_3_n,elapsed_iter_5_mean,elapsed_iter_5_std,elapsed_iter_5_n,elapsed_iter_10_mean,elapsed_iter_10_std,elapsed_iter_10_n
connectome,True,0.877140462398529,0.49647997487004947,3,0.5554753144582113,0.0738578378978903,3,0.5141626000404358,0.014703257386135394,3,0.499038428068161,0.008710139569252637,3,0.6649283766746521,0.0,3,0.6425937215487162,0.047750920020136575,3,0.6558527946472168,0.05417519355089654,3,0.7396636009216309,0.10435307387228664,3,50.27672222932839,13.866765218386625,3,156.0962920503322,28.60385370060501,3,266.4758471659928,27.290169843063293,3,545.8035910489949,23.592997332358017,3
random,True,2.630387326081594,1.7846186593987439,3,0.6019842823346456,0.07649696965836068,3,0.6982494791348776,0.15239671145982828,3,0.5573214689890543,0.054943931261943905,3,2.780975341796875,0.0,3,2.1632560094197593,0.07853972683348696,3,1.8614951769510906,0.009499073238257348,3,1.3793389399846394,0.06794484209794859,3,64.89020923665764,2.274087584536879,3,191.38865216799118,11.040847435278767,3,322.2999702136537,11.549425494121355,3,644.9178777699902,18.352750301115403,3
