sample_id,seed,connectome_loss,connectome_activity,connectome_elapsed,degreepres_loss,degreepres_activity,degreepres_elapsed,delta_loss,delta_activity,delta_elapsed,connectome_finite,degreepres_finite
0,0,0.5206182599067688,0.5526422262191772,124.97686648500007,0.5234662890434265,0.5402497053146362,123.14668957899994,0.002848029136657715,-0.012392520904541016,-1.8301769060001334,True,True
0,1,0.5063655972480774,0.5207048058509827,119.93276105199992,0.5076764225959778,0.517039954662323,130.71341719499833,0.0013108253479003906,-0.003664851188659668,10.78065614299841,True,True
0,2,0.5195991396903992,0.5626636147499084,123.32931182499988,0.5164135098457336,0.547030508518219,130.87853175599955,-0.0031856298446655273,-0.015633106231689453,7.549219930999669,True,True
1,0,0.5206182599067688,0.5526422262191772,124.97686648500007,0.5228096842765808,0.531126081943512,136.4190502950005,0.0021914243698120117,-0.021516144275665283,11.442183810000415,True,True
1,1,0.5063655972480774,0.5207048058509827,119.93276105199992,0.5098996758460999,0.513751745223999,140.04189572199903,0.003534078598022461,-0.006953060626983643,20.109134669999108,True,True
1,2,0.5195991396903992,0.5626636147499084,123.32931182499988,0.5185979008674622,0.5406060814857483,121.770068384998,-0.0010012388229370117,-0.022057533264160156,-1.5592434400018789,True,True
2,0,0.5206182599067688,0.5526422262191772,124.97686648500007,0.5232066512107849,0.552676796913147,124.30593672000032,0.0025883913040161133,3.457069396972656e-05,-0.6709297649997552,True,True
2,1,0.5063655972480774,0.5207048058509827,119.93276105199992,0.5115419626235962,0.5116302967071533,137.0764854959998,0.005176365375518799,-0.009074509143829346,17.143724443999886,True,True
2,2,0.5195991396903992,0.5626636147499084,123.32931182499988,0.5205759406089783,0.5527812838554382,136.7086069240031,0.0009768009185791016,-0.009882330894470215,13.37929509900323,True,True
3,0,0.5206182599067688,0.5526422262191772,124.97686648500007,0.5222615003585815,0.5370798707008362,142.7019874280013,0.0016432404518127441,-0.015562355518341064,17.72512094300123,True,True
3,1,0.5063655972480774,0.5207048058509827,119.93276105199992,0.5105703473091125,0.5171182751655579,140.90578321800058,0.004204750061035156,-0.0035865306854248047,20.97302216600066,True,True
3,2,0.5195991396903992,0.5626636147499084,123.32931182499988,0.5153478980064392,0.5394587516784668,134.60633453699847,-0.004251241683959961,-0.02320486307144165,11.277022711998598,True,True
4,0,0.5206182599067688,0.5526422262191772,124.97686648500007,0.5265825390815735,0.5467864274978638,125.17861148400334,0.0059642791748046875,-0.0058557987213134766,0.20174499900326737,True,True
4,1,0.5063655972480774,0.5207048058509827,119.93276105199992,0.5097456574440002,0.5218295454978943,141.20205689099748,0.0033800601959228516,0.001124739646911621,21.269295838997564,True,True
4,2,0.5195991396903992,0.5626636147499084,123.32931182499988,0.5196595191955566,0.5492547750473022,136.39649275199918,6.03795051574707e-05,-0.013408839702606201,13.0671809269993,True,True
