sample_id,seed,delta_loss,delta_activity,delta_elapsed
0,0,0.002848029136657715,-0.012392520904541016,-1.8301769060001334
0,1,0.0013108253479003906,-0.003664851188659668,10.78065614299841
0,2,-0.0031856298446655273,-0.015633106231689453,7.549219930999669
1,0,0.0021914243698120117,-0.021516144275665283,11.442183810000415
1,1,0.003534078598022461,-0.006953060626983643,20.109134669999108
1,2,-0.0010012388229370117,-0.022057533264160156,-1.5592434400018789
2,0,0.0025883913040161133,3.457069396972656e-05,-0.6709297649997552
2,1,0.005176365375518799,-0.009074509143829346,17.143724443999886
2,2,0.0009768009185791016,-0.009882330894470215,13.37929509900323
3,0,0.0016432404518127441,-0.015562355518341064,17.72512094300123
3,1,0.004204750061035156,-0.0035865306854248047,20.97302216600066
3,2,-0.004251241683959961,-0.02320486307144165,11.277022711998598
4,0,0.0059642791748046875,-0.0058557987213134766,0.20174499900326737
4,1,0.0033800601959228516,0.001124739646911621,21.269295838997564
4,2,6.03795051574707e-05,-0.013408839702606201,13.0671809269993
