sample_id,seed,delta_loss,delta_activity,delta_elapsed
0,0,0.0028480291366577,-0.012392520904541,-1.8301769060001332
0,1,0.0013108253479003,-0.0036648511886596,10.78065614299841
0,2,-0.0031856298446655,-0.0156331062316894,7.549219930999669
1,0,0.002191424369812,-0.0215161442756652,11.442183810000415
1,1,0.0035340785980224,-0.0069530606269836,20.109134669999108
1,2,-0.001001238822937,-0.0220575332641601,-1.5592434400018789
2,0,0.0025883913040161,3.457069396972656e-05,-0.6709297649997552
2,1,0.0051763653755187,-0.0090745091438293,17.143724443999886
2,2,0.0009768009185791,-0.0098823308944702,13.37929509900323
3,0,0.0016432404518127,-0.015562355518341,17.72512094300123
3,1,0.0042047500610351,-0.0035865306854248,20.97302216600066
3,2,-0.0042512416839599,-0.0232048630714416,11.277022711998598
4,0,0.0059642791748046,-0.0058557987213134,0.2017449990032673
4,1,0.0033800601959228,0.0011247396469116,21.269295838997564
4,2,6.03795051574707e-05,-0.0134088397026062,13.0671809269993
