step,model_kind,loss_mean,loss_std,activity_mean,activity_std,elapsed_mean,elapsed_std
5,connectome,0.5141626000404358,0.0147032573861353,0.6558527946472168,0.0541751935508965,251.9254510786656,43.68878994498862
5,random,0.6982494791348776,0.1523967114598282,1.8614951769510903,0.0094990732382573,308.92917468565673,10.744410341250736
10,connectome,0.499038428068161,0.0087101395692526,0.7396636009216309,0.1043530738722866,545.8035910489949,23.592997332358017
10,random,0.5573214689890543,0.0549439312619439,1.3793389399846394,0.0679448420979485,644.9178777699902,18.352750301115403
