model_kind,all_finite,loss_iter_1_mean,loss_iter_1_std,loss_iter_1_n,loss_iter_3_mean,loss_iter_3_std,loss_iter_3_n,loss_iter_5_mean,loss_iter_5_std,loss_iter_5_n,activity_iter_1_mean,activity_iter_1_std,activity_iter_1_n,activity_iter_3_mean,activity_iter_3_std,activity_iter_3_n,activity_iter_5_mean,activity_iter_5_std,activity_iter_5_n,elapsed_iter_1_mean,elapsed_iter_1_std,elapsed_iter_1_n,elapsed_iter_3_mean,elapsed_iter_3_std,elapsed_iter_3_n,elapsed_iter_5_mean,elapsed_iter_5_std,elapsed_iter_5_n
connectome,True,0.877140462398529,0.49647997487004947,3,0.5554753144582113,0.0738578378978903,3,0.5141626000404358,0.014703257386135394,3,0.6649283766746521,0.0,3,0.6425937215487162,0.047750920020136575,3,0.6558527946472168,0.05417519355089654,3,47.397067876338646,15.421323451469824,3,149.57474416334298,32.70245523836564,3,251.9254510786656,43.68878994498862,3
random,True,2.630387326081594,1.7846186593987439,3,0.6019842823346456,0.07649696965836068,3,0.6982494791348776,0.15239671145982828,3,2.780975341796875,0.0,3,2.1632560094197593,0.07853972683348696,3,1.8614951769510906,0.009499073238257348,3,56.47163045900137,9.091659097179022,3,179.6498289173178,13.337318073257899,3,308.92917468565673,10.744410341250736,3
