model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
connectome,1,1,59.48194168298505,0.6666198372840881,0.6649283766746521,42.36740250336403,19.012880135007435,40.468881804990815,59.48176193999825,True
connectome,1,2,116.8551389539789,0.51774662733078,0.6565767526626587,7.447890221908485,16.821812862996012,40.55121336199227,57.37302622498828,True
connectome,1,3,171.868492951995,0.5076928734779358,0.6714540123939514,5.485108001988583,16.51153616097872,38.50165060101426,55.01318676199298,True
connectome,1,4,227.8764403189998,0.5232642292976379,0.6918838024139404,9.4793517295134,16.073296976013808,39.93448252900271,56.007779505016515,True
connectome,1,5,280.3896824689873,0.5303252935409546,0.7051426768302917,9.915271525100927,16.200333943008445,36.3127369779977,52.51307092100615,True
connectome,1,6,333.49340250500245,0.524745762348175,0.7103803753852844,8.049461769408184,16.22283148698625,36.880715427018,53.103546914004255,True
connectome,1,7,391.9441071539768,0.5133588910102844,0.711198627948761,5.5161347824846345,16.799991548992693,41.650537601992255,58.45052915098495,True
connectome,1,8,445.3522972519859,0.5025709271430969,0.7087117433547974,3.5326863619215207,16.02362857098342,37.38449061600841,53.408119186991826,True
connectome,1,9,499.37849683497916,0.4961280822753906,0.7021129131317139,2.718214171191356,16.850174560007872,37.175943107984494,54.02611766799237,True
connectome,1,10,552.2247334949789,0.49343740940093994,0.6915462613105774,2.9081862624265575,17.487096739991102,35.35897478699917,52.84607152699027,True
