model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
random,1,1,66.73943463698379,4.3900532722473145,2.780975341796875,504.472862922561,22.996208145981655,43.74307460800628,66.73928275398794,True
random,1,2,135.19899853199604,1.2420574426651,2.2968075275421143,158.21471646933162,23.74064446199918,44.71874728400144,68.45939174600062,True
random,1,3,200.27929923997726,0.5548849105834961,2.074755907058716,36.64880074836384,24.70104386701132,40.37907956397976,65.08012343099108,True
random,1,4,267.26216871198267,0.539246141910553,1.9504789113998413,29.38770615323085,22.75786904001143,44.22483371099224,66.98270275100367,True
random,1,5,328.6703951759846,0.704164981842041,1.8519972562789917,69.10894300547156,22.677530882996507,38.7305160810065,61.408046964003006,True
random,1,6,396.39469338499475,0.8184850811958313,1.748146891593933,84.8313782496613,24.327992651000386,43.39611543100909,67.72410808200948,True
random,1,7,457.0777175629919,0.8281297087669373,1.6414052248001099,80.54997659024282,22.857468169997446,37.8253848440072,60.68285301400465,True
random,1,8,522.0890420029755,0.7752609848976135,1.541817307472229,67.92591294550664,24.299227690004045,40.711968386982335,65.01119607698638,True
random,1,9,586.8936847579898,0.694007158279419,1.450771689414978,51.75158383503485,23.71977245499147,41.08470644301269,64.80447889800416,True
random,1,10,649.6130397449888,0.6192212700843811,1.37099289894104,36.829253094155405,25.040533811989008,37.67864146901411,62.71917528100312,True
