model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
degreepres,1,1,21.388859294999747,0.5268353223800659,0.5761118531227112,4.48959593726237,12.634807837000153,8.753912337999736,21.38872017499989,True
degreepres,1,2,42.9710939470001,0.5012179017066956,0.5462595820426941,0.8178408588497886,12.709921125000164,8.872257594000075,21.58217871900024,True
degreepres,1,3,70.06092096400016,0.5063912868499756,0.5340811014175415,2.0023763571636914,12.995024248999925,14.094742767000298,27.089767016000224,True
degreepres,1,4,97.07334507299993,0.511379599571228,0.5256680250167847,2.664002781868582,12.829960296000081,14.182316366000123,27.012276662000204,True
degreepres,1,5,124.10930791600003,0.5076764225959778,0.517039954662323,2.0897617465745983,12.724860518000241,14.311023367999951,27.035883886000192,True
degreepres,1,6,151.2691107249998,0.5023177266120911,0.50949627161026,1.0527008038934655,13.128862953999942,14.03079836400002,27.159661317999962,True
degreepres,1,7,178.2999422869998,0.5003477334976196,0.5045800805091858,0.21518810023021948,12.92055368399997,14.110197004999918,27.030750688999888,True
degreepres,1,8,204.60128838499986,0.5016711950302124,0.501314640045166,0.8110370053837158,12.57447507300003,13.726727820999713,26.301202893999744,True
degreepres,1,9,231.61538106499984,0.503774106502533,0.4986990690231323,1.2694533025215424,13.038744761000089,13.975247869999748,27.013992630999837,True
degreepres,1,10,261.62315108099983,0.5044289827346802,0.4960726499557495,1.377952679710555,13.667050791999827,16.340574801999992,30.00762559399982,True
