model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
connectome,1,1,21.650908884000273,0.5261245369911194,0.5667705535888672,5.046433396152111,12.661002972999995,8.989599534000263,21.650602507000258,True
connectome,1,2,43.356378296,0.5004458427429199,0.5461328029632568,0.2614605347078312,12.913300531000004,8.792108281999845,21.70540881299985,True
connectome,1,3,69.0379770720001,0.5098932385444641,0.5267730355262756,2.4525445483762027,12.786388273999819,12.895149511999989,25.681537785999808,True
connectome,1,4,95.98019632800015,0.5121006369590759,0.5256723165512085,2.7042521231487084,13.339424080999834,13.602720412000053,26.942144492999887,True
connectome,1,5,122.79233748700017,0.5063655972480774,0.5207048058509827,1.9142321916196858,13.079867585000102,13.732175723000182,26.812043308000284,True
connectome,1,6,149.82233971200003,0.5010032057762146,0.5141838788986206,0.6052891952706686,12.992720566000116,14.037143838999782,27.0298644049999,True
connectome,1,7,177.4013701140002,0.5008008480072021,0.5099923610687256,0.5981273894529392,13.031489888000124,14.547460785000112,27.578950673000236,True
connectome,1,8,204.58515066000018,0.5028213858604431,0.5066525340080261,1.1760208471487896,12.667018953000024,14.516687569000169,27.183706522000193,True
connectome,1,9,231.60576936799998,0.5036811828613281,0.5036991834640503,1.337726008592616,13.10213532700027,13.918338958999811,27.02047428600008,True
connectome,1,10,258.68155051600024,0.5030491948127747,0.5002696514129639,1.2440241569954633,12.77688200700004,14.298799514000166,27.075681521000206,True
