model_kind,mean_total_activity_over_time_mean,mean_total_activity_over_time_std,std_total_activity_over_time_mean,std_total_activity_over_time_std,mean_node_variance_over_time_mean,mean_node_variance_over_time_std,mean_temporal_variation_mean,mean_temporal_variation_std
connectome,30358.905429542283,2195.8333335971774,832.4765569423798,1216.6084020148628,0.6169129301698086,0.2162457460041302,0.05253202544787563,0.0884225641705451
random,79258.25805452293,686.6841809274533,1939.9517806128163,30.1079788842332,5.196945057777963,0.10389786310086094,0.0020597775896563,0.00010939289355503986
