seed,model_kind,node_index,mean_abs_activity
2,random,0,1.7250772714614868
2,random,1,2.2210049629211426
2,random,2,0.31044524908065796
2,random,3,1.3956749439239502
2,random,4,7.862818241119385
2,random,5,0.4949604868888855
2,random,6,0.5774564743041992
2,random,7,1.1247636079788208
2,random,8,2.126370668411255
2,random,9,1.1138296127319336
2,random,10,2.1979308128356934
2,random,11,1.8240371942520142
2,random,12,4.231618881225586
2,random,13,0.39530038833618164
2,random,14,0.8209524154663086
2,random,15,1.3710815906524658
2,random,16,1.13565194606781
2,random,17,2.0012056827545166
2,random,18,0.6515139937400818
2,random,19,3.0533158779144287
2,random,20,1.150435447692871
2,random,21,2.1452064514160156
2,random,22,2.2579758167266846
2,random,23,1.6766986846923828
2,random,24,0.6455255150794983
2,random,25,2.346224546432495
2,random,26,1.7004077434539795
2,random,27,6.68224573135376
2,random,28,0.3039577901363373
2,random,29,2.6939804553985596
2,random,30,1.366075873374939
2,random,31,0.1360081285238266
2,random,32,2.7932660579681396
2,random,33,2.8850252628326416
2,random,34,1.4124690294265747
2,random,35,1.5485334396362305
2,random,36,1.7295563220977783
2,random,37,1.1238975524902344
2,random,38,0.996989369392395
2,random,39,2.7621841430664062
2,random,40,3.8606417179107666
2,random,41,1.5658812522888184
2,random,42,1.6456215381622314
2,random,43,1.4836475849151611
2,random,44,6.245319843292236
2,random,45,1.9939093589782715
2,random,46,2.1709582805633545
2,random,47,1.5625001192092896
2,random,48,1.7503435611724854
2,random,49,4.642057418823242
2,random,50,0.06256108731031418
2,random,51,1.8961328268051147
2,random,52,0.6663256883621216
2,random,53,3.7659802436828613
2,random,54,2.8412156105041504
2,random,55,0.5113872289657593
2,random,56,0.9165685772895813
2,random,57,2.8937032222747803
2,random,58,0.1771278977394104
2,random,59,1.8166370391845703
2,random,60,1.0675435066223145
2,random,61,0.22834156453609467
2,random,62,2.421412467956543
2,random,63,2.0378262996673584
2,random,64,1.0395817756652832
2,random,65,9.564859390258789
2,random,66,1.1131675243377686
2,random,67,0.7448060512542725
2,random,68,3.832937717437744
2,random,69,0.7720134258270264
2,random,70,1.2827259302139282
2,random,71,0.04839077591896057
2,random,72,3.9034385681152344
2,random,73,5.534182071685791
2,random,74,0.11949844658374786
2,random,75,2.224102258682251
2,random,76,2.8568649291992188
2,random,77,1.3334825038909912
2,random,78,0.7589291334152222
2,random,79,4.500994682312012
2,random,80,0.9010529518127441
2,random,81,0.37519320845603943
2,random,82,0.7483280897140503
2,random,83,0.936547040939331
2,random,84,3.491276502609253
2,random,85,4.481839179992676
2,random,86,1.0994921922683716
2,random,87,2.4234635829925537
2,random,88,1.284401774406433
2,random,89,1.3117725849151611
2,random,90,4.413042068481445
2,random,91,4.564947128295898
2,random,92,0.400135338306427
2,random,93,2.350735902786255
2,random,94,1.878972053527832
2,random,95,0.6492248177528381
2,random,96,2.7858266830444336
2,random,97,0.3329855501651764
2,random,98,2.0560083389282227
2,random,99,2.28228759765625
2,random,100,0.9971008896827698
2,random,101,1.4554762840270996
2,random,102,0.3803133964538574
2,random,103,0.8055022954940796
2,random,104,5.046779632568359
2,random,105,1.557355523109436
2,random,106,1.2372664213180542
2,random,107,0.4206298291683197
2,random,108,0.9931984543800354
2,random,109,6.059275150299072
2,random,110,0.7371159195899963
2,random,111,2.249234199523926
2,random,112,2.268833875656128
2,random,113,2.7418878078460693
2,random,114,0.8593752384185791
2,random,115,3.746791362762451
2,random,116,0.8028531074523926
2,random,117,1.3031538724899292
2,random,118,0.9248653650283813
2,random,119,1.8656166791915894
2,random,120,2.144089698791504
2,random,121,1.641279935836792
2,random,122,0.21615798771381378
2,random,123,1.7382181882858276
2,random,124,1.4688944816589355
2,random,125,0.2970637083053589
2,random,126,0.9946619868278503
2,random,127,1.3901209831237793
2,random,128,0.059319619089365005
2,random,129,2.2783403396606445
2,random,130,3.085777759552002
2,random,131,0.1566239446401596
2,random,132,3.5543386936187744
2,random,133,0.945252537727356
2,random,134,3.5622007846832275
2,random,135,1.163838505744934
2,random,136,0.1471795290708542
2,random,137,0.5989043712615967
2,random,138,2.945892095565796
2,random,139,0.32002630829811096
2,random,140,1.9578274488449097
2,random,141,1.105702519416809
2,random,142,1.9410535097122192
2,random,143,6.169722080230713
2,random,144,1.0408295392990112
2,random,145,4.612806797027588
2,random,146,1.888801097869873
2,random,147,2.0038137435913086
2,random,148,2.2133045196533203
