seed,model_kind,node_index,mean_abs_activity
0,connectome,0,1.0671061277389526
0,connectome,1,1.0671061277389526
0,connectome,2,1.0671061277389526
0,connectome,3,1.0671061277389526
0,connectome,4,1.0671061277389526
0,connectome,5,1.0671659708023071
0,connectome,6,1.06737220287323
0,connectome,7,1.06737220287323
0,connectome,8,1.0673309564590454
0,connectome,9,1.067103624343872
0,connectome,10,1.067090392112732
0,connectome,11,1.0670160055160522
0,connectome,12,1.0665796995162964
0,connectome,13,1.0639585256576538
0,connectome,14,1.0476913452148438
0,connectome,15,0.9431412816047668
0,connectome,16,1.2338464260101318
0,connectome,17,1.2257142066955566
0,connectome,18,1.2257142066955566
0,connectome,19,1.2257142066955566
0,connectome,20,1.2257142066955566
0,connectome,21,1.2257142066955566
0,connectome,22,1.2259336709976196
0,connectome,23,1.2259799242019653
0,connectome,24,1.2259794473648071
0,connectome,25,1.225785255432129
0,connectome,26,1.2256983518600464
0,connectome,27,1.2256330251693726
0,connectome,28,1.22528874874115
0,connectome,29,1.2234869003295898
0,connectome,30,1.2141655683517456
0,connectome,31,1.1671571731567383
0,connectome,32,0.9431412816047668
0,connectome,33,1.259026050567627
0,connectome,34,1.271198034286499
0,connectome,35,1.2700380086898804
0,connectome,36,1.2700380086898804
0,connectome,37,1.2700380086898804
0,connectome,38,1.2700380086898804
0,connectome,39,1.2700730562210083
0,connectome,40,1.2703039646148682
0,connectome,41,1.270303726196289
0,connectome,42,1.270289421081543
0,connectome,43,1.2700287103652954
0,connectome,44,1.2699941396713257
0,connectome,45,1.2698261737823486
0,connectome,46,1.269034504890442
0,connectome,47,1.2654050588607788
0,connectome,48,1.249482274055481
0,connectome,49,1.1842000484466553
0,connectome,50,0.9431412816047668
0,connectome,51,1.2632825374603271
0,connectome,52,1.2809884548187256
0,connectome,53,1.2825901508331299
0,connectome,54,1.2824244499206543
0,connectome,55,1.2824244499206543
0,connectome,56,1.2824244499206543
0,connectome,57,1.2824244499206543
0,connectome,58,1.2826098203659058
0,connectome,59,1.2826902866363525
0,connectome,60,1.282690167427063
0,connectome,61,1.2825268507003784
0,connectome,62,1.2824053764343262
0,connectome,63,1.2823385000228882
0,connectome,64,1.2820450067520142
0,connectome,65,1.2808066606521606
0,connectome,66,1.2757865190505981
0,connectome,67,1.25650155544281
0,connectome,68,1.1866315603256226
0,connectome,69,0.9431412816047668
0,connectome,70,1.2640565633773804
0,connectome,71,1.2829910516738892
0,connectome,72,1.285700798034668
0,connectome,73,1.2859094142913818
0,connectome,74,1.2858860492706299
0,connectome,75,1.2858860492706299
0,connectome,76,1.2858860492706299
0,connectome,77,1.285894751548767
0,connectome,78,1.2861520051956177
0,connectome,79,1.2861520051956177
0,connectome,80,1.286150336265564
0,connectome,81,1.2858785390853882
0,connectome,82,1.2858548164367676
0,connectome,83,1.2857555150985718
0,connectome,84,1.2853574752807617
0,connectome,85,1.2838208675384521
0,connectome,86,1.278125524520874
0,connectome,87,1.2577855587005615
0,connectome,88,1.1869786977767944
0,connectome,89,0.9431412816047668
0,connectome,90,1.264276385307312
0,connectome,91,1.2833993434906006
0,connectome,92,1.2864195108413696
0,connectome,93,1.2868298292160034
0,connectome,94,1.2868568897247314
0,connectome,95,1.286853313446045
0,connectome,96,1.286853313446045
0,connectome,97,1.286853313446045
0,connectome,98,1.2870043516159058
0,connectome,99,1.2871191501617432
0,connectome,100,1.2871190309524536
0,connectome,101,1.2869995832443237
0,connectome,102,1.2868428230285645
0,connectome,103,1.2868107557296753
0,connectome,104,1.2866870164871216
0,connectome,105,1.2862240076065063
0,connectome,106,1.2845463752746582
0,connectome,107,1.2786149978637695
0,connectome,108,1.258009433746338
0,connectome,109,1.187028169631958
0,connectome,110,0.9431412816047668
0,connectome,111,1.264499545097351
0,connectome,112,1.2837129831314087
0,connectome,113,1.2866238355636597
0,connectome,114,1.2870591878890991
0,connectome,115,1.2871205806732178
0,connectome,116,1.2871240377426147
0,connectome,117,1.2871239185333252
0,connectome,118,1.2871239185333252
0,connectome,119,1.2871239185333252
0,connectome,120,1.287389874458313
0,connectome,121,1.287389874458313
0,connectome,122,1.287388563156128
0,connectome,123,1.287125587463379
0,connectome,124,1.287110447883606
0,connectome,125,1.2870724201202393
0,connectome,126,1.2869348526000977
0,connectome,127,1.2864412069320679
0,connectome,128,1.2847107648849487
0,connectome,129,1.2787110805511475
0,connectome,130,1.2580468654632568
0,connectome,131,1.1870877742767334
0,connectome,132,0.9433513283729553
0,connectome,133,1.264505386352539
0,connectome,134,1.2837672233581543
0,connectome,135,1.286881923675537
0,connectome,136,1.2873125076293945
0,connectome,137,1.2872079610824585
0,connectome,138,1.287198781967163
0,connectome,139,1.2871994972229004
0,connectome,140,1.2871994972229004
0,connectome,141,1.2871994972229004
0,connectome,142,1.2873090505599976
0,connectome,143,1.2874654531478882
0,connectome,144,1.2874648571014404
0,connectome,145,1.2873866558074951
0,connectome,146,1.2871949672698975
0,connectome,147,1.2871835231781006
0,connectome,148,1.2871429920196533
0,connectome,149,1.2869981527328491
0,connectome,150,1.286492943763733
0,connectome,151,1.2847458124160767
0,connectome,152,1.2787820100784302
0,connectome,153,1.2582640647888184
0,connectome,154,1.1873019933700562
0,connectome,155,0.9434072375297546
0,connectome,156,1.264457106590271
0,connectome,157,1.2837709188461304
0,connectome,158,1.2868894338607788
0,connectome,159,1.28739333152771
0,connectome,160,1.287473201751709
0,connectome,161,1.2873833179473877
0,connectome,162,1.287216067314148
0,connectome,163,1.2872203588485718
0,connectome,164,1.2872203588485718
0,connectome,165,1.2872203588485718
0,connectome,166,1.2874751091003418
0,connectome,167,1.2874864339828491
0,connectome,168,1.2874864339828491
0,connectome,169,1.2872512340545654
0,connectome,170,1.2872155904769897
0,connectome,171,1.2872037887573242
0,connectome,172,1.2871614694595337
0,connectome,173,1.2870137691497803
0,connectome,174,1.2865575551986694
0,connectome,175,1.2849639654159546
0,connectome,176,1.2789990901947021
0,connectome,177,1.2583200931549072
0,connectome,178,1.1873022317886353
0,connectome,179,0.9434072375297546
0,connectome,180,1.2642407417297363
0,connectome,181,1.2835675477981567
0,connectome,182,1.286868691444397
0,connectome,183,1.287395715713501
0,connectome,184,1.2874773740768433
0,connectome,185,1.2874902486801147
0,connectome,186,1.287492275238037
0,connectome,187,1.2873499393463135
0,connectome,188,1.2872265577316284
0,connectome,189,1.2872265577316284
0,connectome,190,1.2872982025146484
0,connectome,191,1.2874928712844849
0,connectome,192,1.287492275238037
0,connectome,193,1.2874424457550049
0,connectome,194,1.2872248888015747
0,connectome,195,1.2872213125228882
0,connectome,196,1.2872090339660645
0,connectome,197,1.287218451499939
0,connectome,198,1.2872284650802612
0,connectome,199,1.286773681640625
0,connectome,200,1.2850208282470703
0,connectome,201,1.27899968624115
0,connectome,202,1.2583200931549072
0,connectome,203,1.1873022317886353
0,connectome,204,0.9433622360229492
0,connectome,205,1.2642407417297363
0,connectome,206,1.2835056781768799
0,connectome,207,1.2866257429122925
0,connectome,208,1.2872241735458374
0,connectome,209,1.2874789237976074
0,connectome,210,1.2874914407730103
0,connectome,211,1.2874934673309326
0,connectome,212,1.28749418258667
0,connectome,213,1.287493109703064
0,connectome,214,1.2873117923736572
0,connectome,215,1.2872281074523926
0,connectome,216,1.2874566316604614
0,connectome,217,1.2874940633773804
0,connectome,218,1.2874940633773804
0,connectome,219,1.2872906923294067
0,connectome,220,1.2872265577316284
0,connectome,221,1.2872753143310547
0,connectome,222,1.2874209880828857
0,connectome,223,1.2874337434768677
0,connectome,224,1.2872849702835083
0,connectome,225,1.2867740392684937
0,connectome,226,1.2850210666656494
0,connectome,227,1.27899968624115
0,connectome,228,1.2582757472991943
0,connectome,229,1.1870992183685303
0,connectome,230,0.9431412816047668
0,connectome,231,1.2642407417297363
0,connectome,232,1.2835056781768799
0,connectome,233,1.2866257429122925
0,connectome,234,1.2871309518814087
0,connectome,235,1.28721284866333
0,connectome,236,1.287360668182373
0,connectome,237,1.28749418258667
0,connectome,238,1.2874946594238281
0,connectome,239,1.2874946594238281
0,connectome,240,1.2874946594238281
0,connectome,241,1.2874672412872314
0,connectome,242,1.2873443365097046
0,connectome,243,1.2875412702560425
0,connectome,244,1.2875365018844604
0,connectome,245,1.2875070571899414
0,connectome,246,1.287280797958374
0,connectome,247,1.2874374389648438
0,connectome,248,1.2874891757965088
0,connectome,249,1.287476897239685
0,connectome,250,1.2874337434768677
0,connectome,251,1.2872849702835083
0,connectome,252,1.2867742776870728
0,connectome,253,1.284976601600647
0,connectome,254,1.2787964344024658
0,connectome,255,1.2580541372299194
0,connectome,256,1.1870362758636475
0,connectome,257,0.9431412816047668
0,connectome,258,1.2642407417297363
0,connectome,259,1.2835056781768799
0,connectome,260,1.2866257429122925
0,connectome,261,1.2871311902999878
0,connectome,262,1.28721284866333
0,connectome,263,1.2872262001037598
0,connectome,264,1.2872267961502075
0,connectome,265,1.287402868270874
0,connectome,266,1.2874946594238281
0,connectome,267,1.2874946594238281
0,connectome,268,1.2874946594238281
0,connectome,269,1.2875412702560425
0,connectome,270,1.287711501121521
0,connectome,271,1.2875713109970093
0,connectome,272,1.2875885963439941
0,connectome,273,1.2875266075134277
0,connectome,274,1.2874914407730103
0,connectome,275,1.2874929904937744
0,connectome,276,1.2874891757965088
0,connectome,277,1.287476897239685
0,connectome,278,1.2874337434768677
0,connectome,279,1.2872405052185059
0,connectome,280,1.2865711450576782
0,connectome,281,1.284754991531372
0,connectome,282,1.2787336111068726
0,connectome,283,1.2580538988113403
0,connectome,284,1.1870357990264893
0,connectome,285,0.9431412816047668
0,connectome,286,1.2642407417297363
0,connectome,287,1.2835056781768799
0,connectome,288,1.2866257429122925
0,connectome,289,1.2871311902999878
0,connectome,290,1.28721284866333
0,connectome,291,1.2872262001037598
0,connectome,292,1.2872284650802612
0,connectome,293,1.2872284650802612
0,connectome,294,1.2872507572174072
0,connectome,295,1.2874350547790527
0,connectome,296,1.2874946594238281
