seed,model_kind,mean_total_activity_over_time,std_total_activity_over_time,mean_node_variance_over_time,mean_temporal_variation,max_total_activity_t,min_total_activity_t
0,connectome,30568.609011965615,221.01096830965838,0.6695986483176845,0.0016804888088518394,32733.361328125,30182.158203125
0,random,78499.1264811803,1935.5781620778405,5.140870106707719,0.002001258415730127,79230.1484375,67275.1015625
1,connectome,32442.36402184015,2233.525917047685,0.8019474208576528,0.15463334900229725,36747.37890625,28050.27734375
1,random,79836.12816565986,1912.2698103910734,5.133132297310244,0.0021859827019034806,80549.59375,68610.8671875
2,connectome,28065.743254821096,42.89278546979585,0.3791927213340887,0.001282238532477984,28230.78515625,27805.244140625
2,random,79439.51951672863,1972.0073693695354,5.316832769315925,0.0019920916513354366,80190.0546875,67986.171875
