seed,model_kind,n_edges,total_usage,mean_usage,std_usage,edge_usage_gini,edge_top1_frac,edge_top5_frac,edge_top10_frac
0,connectome,1513231,15579.515451941978,0.0102955301946246,0.025896987382643722,0.7868479180366383,0.18758713853948258,0.44066482119413625,0.612072470338396
0,random,1513231,53044.906273864166,0.03505407057736999,0.12355624783492969,0.8222898297949672,0.252595921030747,0.5270278198587969,0.6873202515768674
1,connectome,1513231,17827.205475906285,0.011780888361331671,0.028776254513334074,0.7782413707171194,0.1853023636694504,0.44654974535929887,0.6125492171631939
1,random,1513231,53709.44271558335,0.03549322126997355,0.12477543088799564,0.8213347904006936,0.2517405631221797,0.5256022579239269,0.6856223528942839
2,connectome,1513231,17165.170688921673,0.011343390856334342,0.02694492073446868,0.7708319822174425,0.17924986683715247,0.4238151417264621,0.584819945315752
2,random,1513231,53123.199980408266,0.03510581000548381,0.1261237712891858,0.8259831540646578,0.256420985254676,0.5319318533941453,0.6922520932353247
