seed,model_kind,n_nodes,total_activity,mean_abs_activity,std_abs_activity,node_activity_gini,node_top1_frac,node_top5_frac,node_top10_frac
0,connectome,45669,30568.60939988133,0.6693514068598246,0.6053535398450777,0.4728779833038659,0.04131814764505346,0.17537486106187733,0.3065743540521702
0,random,45669,78499.12651180709,1.7188711491779345,1.9352156684701276,0.4698158934749874,0.08071249146777024,0.21889966358874163,0.3334392448019294
1,connectome,45669,32442.3639886796,0.7103804328686768,0.5806108593053912,0.42267457948649767,0.03928143565284973,0.1666228272935282,0.28899730765277065
1,random,45669,79836.12789492728,1.7481470558787642,1.9329215777610902,0.4659012318067952,0.0789026410548984,0.21636177043150262,0.3306057753644757
2,connectome,45669,28065.743293403124,0.6145469200859034,0.4429256119903956,0.4001351760957388,0.029042444893601832,0.1347876586078007,0.24665768120931134
2,random,45669,79439.5195348328,1.7394626450071777,1.978506012575611,0.4723650234564749,0.08150303548166407,0.22095197147522044,0.33597150593089997
