model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
random,0,1,57.534809136006515,2.6792876720428467,2.780975341796875,428.3696541288096,20.971486480004387,36.56299774299259,57.53448422299698,True
random,0,2,120.29788568301592,0.6666867136955261,2.353792905807495,78.65157936581129,20.821407773997635,41.94159633401432,62.763004108011955,True
random,0,3,182.41959722700994,0.5608190298080444,2.1903512477874756,44.97054996279212,20.759116323984927,41.36242561400286,62.121541937987786,True
random,0,4,247.059422877006,0.77659672498703,2.035418748855591,89.30858668811231,22.878189392999047,41.76154229900567,64.63973169200472,True
random,0,5,314.48308335401816,0.8476023077964783,1.8709954023361206,91.01745995075983,25.492650357977254,41.930840189015726,67.42349054699298,True
