model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
connectome,0,1,35.56874944700394,0.5927278995513916,0.574621319770813,13.145340171510414,15.773711140995147,19.794648946990492,35.56836008798564,True
connectome,0,2,70.76309407799272,0.5075055956840515,0.5651770830154419,3.71389741907656,16.430651697010035,18.763518347986974,35.19417004499701,True
connectome,0,3,124.02039915701607,0.5104028582572937,0.5632048845291138,5.598527787129781,15.80703298500157,37.45021220500348,53.25724519000505,True
connectome,0,4,155.78988489101175,0.5306143164634705,0.5656521320343018,9.986378503996788,15.461425154004246,16.307898219005438,31.769323373009684,True
connectome,0,5,214.6068344420055,0.5206182599067688,0.5526422262191772,7.317752817295307,17.14330435899319,41.67356898399885,58.81687334299204,True
connectome,0,6,272.1258852070023,0.5054841041564941,0.5350346565246582,2.916644197713502,15.496716519002803,42.022176063997904,57.51889258300071,True
connectome,0,7,329.91324602699024,0.5009801387786865,0.5222293734550476,0.8889063162515815,16.197260880988324,41.589928016997874,57.7871888979862,True
connectome,0,8,385.1607833399903,0.5034388899803162,0.5130686163902283,2.151569075537943,15.876987377996556,39.37039667699719,55.247384054993745,True
connectome,0,9,446.7915323060006,0.5069535374641418,0.5083028078079224,2.6597717144030435,18.206011146015953,43.424570517992834,61.63058166400879,True
connectome,0,10,503.3004352780117,0.5086986422538757,0.5048332214355469,2.6579832501598752,17.519131159002427,38.98965037899325,56.508781537995674,True
