model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
random,0,1,72.45200486900285,0.5628849864006042,0.6287406086921692,8.47096926106417,25.230288202001248,47.221377857989864,72.45166605999111,True
random,0,2,230.79827995499363,0.509103536605835,0.6102942824363708,3.081032568650475,66.99041684999247,91.35568335198332,158.3461002019758,True
random,0,3,386.33257354801754,0.5015090107917786,0.6023951172828674,1.1378214788842766,73.9916529530019,81.53637832100503,155.52803127400693,True
random,0,4,546.7750662240142,0.5120555758476257,0.5959322452545166,3.7940444287524224,79.31063125000219,81.13133169402136,160.44196294402354,True
random,0,5,706.2180882130051,0.518403172492981,0.5859349966049194,4.679060514161705,76.65903200898902,82.78372638201108,159.4427583910001,True
random,0,6,867.5318766749988,0.5151509642601013,0.5724797248840332,4.074852284328238,74.79416291599046,86.51890804799041,161.31307096398086,True
random,0,7,994.0783639290021,0.5074689984321594,0.5586625933647156,2.633755031636616,49.88667330701719,76.65636589599308,126.54303920301027,True
random,0,8,1171.6489150570123,0.5019010305404663,0.5458400249481201,1.099436218496687,73.90875830801087,103.66088550799759,177.56964381600847,True
random,0,9,1346.931863017002,0.5007339119911194,0.5349491238594055,0.495657885232941,60.9289055679983,114.35282820698922,175.28173377498752,True
random,0,10,1506.7512641370122,0.5027883648872375,0.5259915590286255,1.4245084967731394,58.204146941017825,101.61427613100386,159.8184230720217,True
