variant,lambda_act,final_task_loss,activity_abs_mean_all_nodes,activity_abs_mean_central,activity_rms_all_nodes,activity_rms_central,direction_mse,direction_cosine_mean,direction_angle_error_deg,direction_nearest_angle_accuracy,is_unstable,final_over_best_ratio
baseline,0.0,0.4180428087711334,0.6346927285194397,0.6926566362380981,0.8358660340309143,0.9133761525154114,0.4180428087711334,0.43610554933547974,56.379783630371094,0.625,False,1.0
weak,0.02,0.42048096656799316,0.6129260063171387,0.666231095790863,0.808578610420227,0.8800276517868042,0.42048096656799316,0.3969937860965729,58.20176315307617,0.625,False,1.0
moderate,0.05,0.4622558057308197,0.5948696732521057,0.623623251914978,0.7869911789894104,0.8285877704620361,0.4622558057308197,0.37968313694000244,61.17906951904297,0.5,False,1.0
