model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
connectome,2,1,52.336927238997305,1.4441941976547241,0.6649283766746521,118.44096001457791,16.414238105004188,35.922511715994915,52.3367498209991,True
connectome,2,2,111.50943471697974,0.9119117856025696,0.6141876578330994,51.12929849416053,17.548124164983165,41.624213720002444,59.17233788498561,True
connectome,2,3,167.245739467995,0.6405434012413025,0.5874761939048767,26.444733616065292,15.857752915006131,39.878386461990885,55.736139376997016,True
connectome,2,4,223.44124234098126,0.5233674049377441,0.5839723348617554,8.552802800720674,15.391627296980005,40.80370315400069,56.19533045098069,True
connectome,2,5,276.1138723609911,0.5105825066566467,0.5978487133979797,3.528518076848167,15.107886126992526,37.56463855601032,52.67252468300285,True
