model_kind,seed,iteration,elapsed_sec,task_loss,activity_abs_mean,gradient_norm,forward_sec,backward_plus_step_sec,iter_total_sec,finite
connectome,2,1,22.92670906000012,0.5952567458152771,0.5630800127983093,11.06029476709221,13.832368200000019,9.094018432000212,22.92638663200023,True
connectome,2,2,50.93150538000009,0.5134683847427368,0.5680528283119202,3.560691805233107,13.42259962900016,14.582120349999968,28.00471997900013,True
connectome,2,3,80.48604463899983,0.5047820210456848,0.5732471346855164,2.7352506267559527,13.3955526740001,16.158790603999933,29.554343278000033,True
connectome,2,4,111.43136810899978,0.5150549411773682,0.570267379283905,4.320585402130099,14.015871091999998,16.929305628999828,30.945176720999825,True
connectome,2,5,143.6875540599999,0.5195991396903992,0.5626636147499084,4.4852612894095305,14.58968072000016,17.66634453100005,32.25602525100021,True
connectome,2,6,172.77637910099975,0.5164355635643005,0.5509346723556519,3.8078134284731844,14.41208808700003,14.676588083999832,29.08867617099986,True
connectome,2,7,201.19700155200007,0.5096122622489929,0.5382975339889526,2.8438855514359793,13.59647337000024,14.823974724999971,28.42044809500021,True
connectome,2,8,231.22342775800007,0.5032350420951843,0.5248686075210571,1.626208986982001,13.960721453999668,16.06557003600028,30.02629148999995,True
connectome,2,9,261.21016866599984,0.5004884600639343,0.5118077993392944,0.31081812665974173,14.245638830999724,15.740957508000065,29.98659633899979,True
connectome,2,10,291.9627039420002,0.5016177296638489,0.5044363737106323,0.880164144130342,14.056358128000284,16.69603523800015,30.752393366000433,True
